"Student_Name";"Test_Case_1 (10)";"Test_Case_2 (10)";"Test_Case_3 (10)";"Test_Case_4 (10)";"Test_Case_5 (10)";"Code_1 (10)";"Code_2 (20)";"Code_3 (20)";"Total_Marks (100)";"Comments"
22MA10021;0;0;0;0;0;10;20;0;30;Segmentation fault occuring for most of the test cases.~~~~========= TEST CASES =========~~~~~~FAILED: Test Case 1: ~~IN:~~n=5~~LL[n]=5 10 15 20 25 ~~m=15~~~~Exp OUT:~~Output after deleting 15: ~~5 10 20 25~~~~ ~~  Mark/s obtained: 0 out of 10~~~~~~FAILED: Test Case 2: ~~IN:~~n=5~~LL[n]=5 10 15 20 25 ~~m=30~~~~Exp OUT:~~30 does not exist~~~~ ~~  Mark/s obtained: 0 out of 10~~~~~~FAILED: Test Case 3: ~~IN:~~n=5~~LL[n]=5 4 3 2 1~~m=5~~~~Exp OUT:~~Output after deleting 5: ~~4 3 2 1~~~~ ~~  Mark/s obtained: 0 out of 10~~~~~~FAILED: Test Case 4: ~~IN:~~n=5~~LL[n]=2 4 6 8 10~~m=10~~~~Exp OUT:~~Output after deleting 10: ~~2 4 6 ~~~~ ~~  Mark/s obtained: 0 out of 10~~~~~~FAILED: Test Case 5: ~~IN:~~n=1~~LL[n]=2~~m=2~~~~Exp OUT:~~Output after deleting 2: ~~ ~~~~ ~~  Mark/s obtained: 0 out of 10~~~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 1:~~All inputs taken correctly~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 2:~~Linked list created correctly using user input~~  Mark/s obtained: 20 out of 20~~~~~~FAILED: Code Case 3:~~Logic is correct and gives expected output for all test cases~~  Mark/s obtained: 0 out of 20~~~~~~==============================~~~~########### TOTAL MARKS OBTAINED = 30 ############
22EE30007;0;0;0;0;0;0;5;0;5;The code didn't compile.~~~~========= TEST CASES =========~~~~~~FAILED: Code didn't compile successfully~~  Mark/s obtained: 0 out of 50~~~~~~========= CODE CASES =========~~~~~~FAILED: Code Case 1:~~All inputs taken correctly~~  Mark/s obtained: 0 out of 10~~~~~~FAILED: Code Case 2:~~Linked list created correctly using user input~~  Mark/s obtained: 5 out of 20~~~~~~FAILED: Code Case 3:~~Logic is correct and gives expected output for all test cases~~  Mark/s obtained: 0 out of 20~~~~~~==============================~~~~############ TOTAL MARKS OBTAINED = 5 ############
22AG10041;10;10;0;10;10;10;0;0;50;Incorrect method used~~~~========= TEST CASES =========~~~~~~FAILED: Test Case 3: ~~IN:~~n=5~~LL[n]=5 4 3 2 1~~m=5~~~~Exp OUT:~~Output after deleting 5: ~~4 3 2 1~~~~ ~~  Mark/s obtained: 0 out of 10~~~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 1:~~All inputs taken correctly~~  Mark/s obtained: 10 out of 10~~~~~~FAILED: Code Case 2:~~Linked list created correctly using user input~~  Mark/s obtained: 0 out of 20~~~~~~FAILED: Code Case 3:~~Logic is correct and gives expected output for all test cases~~  Mark/s obtained: 0 out of 20~~~~~~==============================~~~~########### TOTAL MARKS OBTAINED = 50 ############
22ME30004;0;0;0;0;0;0;0;0;0;A file was not submitted properly ~~Mark/s lost: 100 out of 100~~~~~~==============================~~~~############ TOTAL MARKS OBTAINED = 0 ############
22MA10059;10;0;10;10;10;10;20;15;85;Incorrect output for some test cases.~~~~========= TEST CASES =========~~~~~~FAILED: Test Case 2: ~~IN:~~n=5~~LL[n]=5 10 15 20 25 ~~m=30~~~~Exp OUT:~~30 does not exist~~~~ ~~  Mark/s obtained: 0 out of 10~~~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 1:~~All inputs taken correctly~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 2:~~Linked list created correctly using user input~~  Mark/s obtained: 20 out of 20~~~~~~FAILED: Code Case 3:~~Logic is correct and gives expected output for all test cases~~  Mark/s obtained: 15 out of 20~~~~~~==============================~~~~########### TOTAL MARKS OBTAINED = 85 ############
22CE10065;0;0;0;0;0;0;0;0;0;A file was not submitted properly ~~Mark/s lost: 100 out of 100~~~~~~==============================~~~~############ TOTAL MARKS OBTAINED = 0 ############
22EX10034;0;0;0;0;0;0;0;0;0;The code didn't compile.~~~~========= TEST CASES =========~~~~~~FAILED: Code didn't compile successfully~~  Mark/s obtained: 0 out of 50~~~~~~========= CODE CASES =========~~~~~~FAILED: Code Case 1:~~All inputs taken correctly~~  Mark/s obtained: 0 out of 10~~~~~~FAILED: Code Case 2:~~Linked list created correctly using user input~~  Mark/s obtained: 0 out of 20~~~~~~FAILED: Code Case 3:~~Logic is correct and gives expected output for all test cases~~  Mark/s obtained: 0 out of 20~~~~~~==============================~~~~############ TOTAL MARKS OBTAINED = 0 ############
22EC10059;10;10;0;10;0;10;20;15;75;Incorrect output for some test cases.~~~~========= TEST CASES =========~~~~~~FAILED: Test Case 3: ~~IN:~~n=5~~LL[n]=5 4 3 2 1~~m=5~~~~Exp OUT:~~Output after deleting 5: ~~4 3 2 1~~~~ ~~  Mark/s obtained: 0 out of 10~~~~~~FAILED: Test Case 5: ~~IN:~~n=1~~LL[n]=2~~m=2~~~~Exp OUT:~~Output after deleting 2: ~~ ~~~~ ~~  Mark/s obtained: 0 out of 10~~~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 1:~~All inputs taken correctly~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 2:~~Linked list created correctly using user input~~  Mark/s obtained: 20 out of 20~~~~~~FAILED: Code Case 3:~~Logic is correct and gives expected output for all test cases~~  Mark/s obtained: 15 out of 20~~~~~~==============================~~~~########### TOTAL MARKS OBTAINED = 75 ############
22HS10030;0;0;0;0;0;0;0;0;0;Completely different program submitted.~~~~========= TEST CASES =========~~~~~~FAILED: Test Case 1: ~~IN:~~n=5~~LL[n]=5 10 15 20 25 ~~m=15~~~~Exp OUT:~~Output after deleting 15: ~~5 10 20 25~~~~ ~~  Mark/s obtained: 0 out of 10~~~~~~FAILED: Test Case 2: ~~IN:~~n=5~~LL[n]=5 10 15 20 25 ~~m=30~~~~Exp OUT:~~30 does not exist~~~~ ~~  Mark/s obtained: 0 out of 10~~~~~~FAILED: Test Case 3: ~~IN:~~n=5~~LL[n]=5 4 3 2 1~~m=5~~~~Exp OUT:~~Output after deleting 5: ~~4 3 2 1~~~~ ~~  Mark/s obtained: 0 out of 10~~~~~~FAILED: Test Case 4: ~~IN:~~n=5~~LL[n]=2 4 6 8 10~~m=10~~~~Exp OUT:~~Output after deleting 10: ~~2 4 6 ~~~~ ~~  Mark/s obtained: 0 out of 10~~~~~~FAILED: Test Case 5: ~~IN:~~n=1~~LL[n]=2~~m=2~~~~Exp OUT:~~Output after deleting 2: ~~ ~~~~ ~~  Mark/s obtained: 0 out of 10~~~~~~========= CODE CASES =========~~~~~~FAILED: Code Case 1:~~All inputs taken correctly~~  Mark/s obtained: 0 out of 10~~~~~~FAILED: Code Case 2:~~Linked list created correctly using user input~~  Mark/s obtained: 0 out of 20~~~~~~FAILED: Code Case 3:~~Logic is correct and gives expected output for all test cases~~  Mark/s obtained: 0 out of 20~~~~~~==============================~~~~############ TOTAL MARKS OBTAINED = 0 ############
22CH30005;0;0;0;0;0;10;10;0;20;The code didn't compile.~~~~========= TEST CASES =========~~~~~~FAILED: Code didn't compile successfully~~  Mark/s obtained: 0 out of 50~~~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 1:~~All inputs taken correctly~~  Mark/s obtained: 10 out of 10~~~~~~FAILED: Code Case 2:~~Linked list created correctly using user input~~  Mark/s obtained: 10 out of 20~~~~~~FAILED: Code Case 3:~~Logic is correct and gives expected output for all test cases~~  Mark/s obtained: 0 out of 20~~~~~~==============================~~~~########### TOTAL MARKS OBTAINED = 20 ############
22MI31006;0;0;0;0;0;0;0;0;0;A file was not submitted properly ~~Mark/s lost: 100 out of 100~~~~~~==============================~~~~############ TOTAL MARKS OBTAINED = 0 ############
22MI31025;10;0;10;10;10;10;20;15;85;Segmentation fault occuring for some of the test cases.~~~~========= TEST CASES =========~~~~~~FAILED: Test Case 2: ~~IN:~~n=5~~LL[n]=5 10 15 20 25 ~~m=30~~~~Exp OUT:~~30 does not exist~~~~ ~~  Mark/s obtained: 0 out of 10~~~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 1:~~All inputs taken correctly~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 2:~~Linked list created correctly using user input~~  Mark/s obtained: 20 out of 20~~~~~~FAILED: Code Case 3:~~Logic is correct and gives expected output for all test cases~~  Mark/s obtained: 15 out of 20~~~~~~==============================~~~~########### TOTAL MARKS OBTAINED = 85 ############
22EC10079;0;0;0;0;10;10;20;0;40;Incorrect output for most of the test cases.~~~~========= TEST CASES =========~~~~~~FAILED: Test Case 1: ~~IN:~~n=5~~LL[n]=5 10 15 20 25 ~~m=15~~~~Exp OUT:~~Output after deleting 15: ~~5 10 20 25~~~~ ~~  Mark/s obtained: 0 out of 10~~~~~~FAILED: Test Case 2: ~~IN:~~n=5~~LL[n]=5 10 15 20 25 ~~m=30~~~~Exp OUT:~~30 does not exist~~~~ ~~  Mark/s obtained: 0 out of 10~~~~~~FAILED: Test Case 3: ~~IN:~~n=5~~LL[n]=5 4 3 2 1~~m=5~~~~Exp OUT:~~Output after deleting 5: ~~4 3 2 1~~~~ ~~  Mark/s obtained: 0 out of 10~~~~~~FAILED: Test Case 4: ~~IN:~~n=5~~LL[n]=2 4 6 8 10~~m=10~~~~Exp OUT:~~Output after deleting 10: ~~2 4 6 ~~~~ ~~  Mark/s obtained: 0 out of 10~~~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 1:~~All inputs taken correctly~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 2:~~Linked list created correctly using user input~~  Mark/s obtained: 20 out of 20~~~~~~FAILED: Code Case 3:~~Logic is correct and gives expected output for all test cases~~  Mark/s obtained: 0 out of 20~~~~~~==============================~~~~########### TOTAL MARKS OBTAINED = 40 ############
22EE10028;10;10;10;10;10;10;20;20;100;Perfect~~~~========= TEST CASES =========~~~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 1:~~All inputs taken correctly~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 2:~~Linked list created correctly using user input~~  Mark/s obtained: 20 out of 20~~~~~~PASSED: Code Case 3:~~Logic is correct and gives expected output for all test cases~~  Mark/s obtained: 20 out of 20~~~~~~==============================~~~~########### TOTAL MARKS OBTAINED = 100 ###########
22CE30016;0;0;0;0;0;0;0;0;0;A file was not submitted properly ~~Mark/s lost: 100 out of 100~~~~~~==============================~~~~############ TOTAL MARKS OBTAINED = 0 ############
22NA30030;0;0;0;0;0;10;20;0;30;Segmentation fault occuring for most of the test cases.~~~~========= TEST CASES =========~~~~~~FAILED: Test Case 1: ~~IN:~~n=5~~LL[n]=5 10 15 20 25 ~~m=15~~~~Exp OUT:~~Output after deleting 15: ~~5 10 20 25~~~~ ~~  Mark/s obtained: 0 out of 10~~~~~~FAILED: Test Case 2: ~~IN:~~n=5~~LL[n]=5 10 15 20 25 ~~m=30~~~~Exp OUT:~~30 does not exist~~~~ ~~  Mark/s obtained: 0 out of 10~~~~~~FAILED: Test Case 3: ~~IN:~~n=5~~LL[n]=5 4 3 2 1~~m=5~~~~Exp OUT:~~Output after deleting 5: ~~4 3 2 1~~~~ ~~  Mark/s obtained: 0 out of 10~~~~~~FAILED: Test Case 4: ~~IN:~~n=5~~LL[n]=2 4 6 8 10~~m=10~~~~Exp OUT:~~Output after deleting 10: ~~2 4 6 ~~~~ ~~  Mark/s obtained: 0 out of 10~~~~~~FAILED: Test Case 5: ~~IN:~~n=1~~LL[n]=2~~m=2~~~~Exp OUT:~~Output after deleting 2: ~~ ~~~~ ~~  Mark/s obtained: 0 out of 10~~~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 1:~~All inputs taken correctly~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 2:~~Linked list created correctly using user input~~  Mark/s obtained: 20 out of 20~~~~~~FAILED: Code Case 3:~~Logic is correct and gives expected output for all test cases~~  Mark/s obtained: 0 out of 20~~~~~~==============================~~~~########### TOTAL MARKS OBTAINED = 30 ############
22ME10064;10;10;10;10;10;10;20;20;100;Perfect~~~~========= TEST CASES =========~~~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 1:~~All inputs taken correctly~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 2:~~Linked list created correctly using user input~~  Mark/s obtained: 20 out of 20~~~~~~PASSED: Code Case 3:~~Logic is correct and gives expected output for all test cases~~  Mark/s obtained: 20 out of 20~~~~~~==============================~~~~########### TOTAL MARKS OBTAINED = 100 ###########
22IM10001;10;0;10;10;10;10;20;15;85;Incorrect output for some test cases.~~~~========= TEST CASES =========~~~~~~FAILED: Test Case 2: ~~IN:~~n=5~~LL[n]=5 10 15 20 25 ~~m=30~~~~Exp OUT:~~30 does not exist~~~~ ~~  Mark/s obtained: 0 out of 10~~~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 1:~~All inputs taken correctly~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 2:~~Linked list created correctly using user input~~  Mark/s obtained: 20 out of 20~~~~~~FAILED: Code Case 3:~~Logic is correct and gives expected output for all test cases~~  Mark/s obtained: 15 out of 20~~~~~~==============================~~~~########### TOTAL MARKS OBTAINED = 85 ############
22CH30025;0;0;0;0;0;10;10;0;20;Incorrect output for most of the test cases.~~~~========= TEST CASES =========~~~~~~FAILED: Test Case 1: ~~IN:~~n=5~~LL[n]=5 10 15 20 25 ~~m=15~~~~Exp OUT:~~Output after deleting 15: ~~5 10 20 25~~~~ ~~  Mark/s obtained: 0 out of 10~~~~~~FAILED: Test Case 2: ~~IN:~~n=5~~LL[n]=5 10 15 20 25 ~~m=30~~~~Exp OUT:~~30 does not exist~~~~ ~~  Mark/s obtained: 0 out of 10~~~~~~FAILED: Test Case 3: ~~IN:~~n=5~~LL[n]=5 4 3 2 1~~m=5~~~~Exp OUT:~~Output after deleting 5: ~~4 3 2 1~~~~ ~~  Mark/s obtained: 0 out of 10~~~~~~FAILED: Test Case 4: ~~IN:~~n=5~~LL[n]=2 4 6 8 10~~m=10~~~~Exp OUT:~~Output after deleting 10: ~~2 4 6 ~~~~ ~~  Mark/s obtained: 0 out of 10~~~~~~FAILED: Test Case 5: ~~IN:~~n=1~~LL[n]=2~~m=2~~~~Exp OUT:~~Output after deleting 2: ~~ ~~~~ ~~  Mark/s obtained: 0 out of 10~~~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 1:~~All inputs taken correctly~~  Mark/s obtained: 10 out of 10~~~~~~FAILED: Code Case 2:~~Linked list created correctly using user input~~  Mark/s obtained: 10 out of 20~~~~~~FAILED: Code Case 3:~~Logic is correct and gives expected output for all test cases~~  Mark/s obtained: 0 out of 20~~~~~~==============================~~~~########### TOTAL MARKS OBTAINED = 20 ############
22AG10001;0;0;0;0;0;10;10;0;20;Incorrect output for most of the test cases.~~~~========= TEST CASES =========~~~~~~FAILED: Test Case 1: ~~IN:~~n=5~~LL[n]=5 10 15 20 25 ~~m=15~~~~Exp OUT:~~Output after deleting 15: ~~5 10 20 25~~~~ ~~  Mark/s obtained: 0 out of 10~~~~~~FAILED: Test Case 2: ~~IN:~~n=5~~LL[n]=5 10 15 20 25 ~~m=30~~~~Exp OUT:~~30 does not exist~~~~ ~~  Mark/s obtained: 0 out of 10~~~~~~FAILED: Test Case 3: ~~IN:~~n=5~~LL[n]=5 4 3 2 1~~m=5~~~~Exp OUT:~~Output after deleting 5: ~~4 3 2 1~~~~ ~~  Mark/s obtained: 0 out of 10~~~~~~FAILED: Test Case 4: ~~IN:~~n=5~~LL[n]=2 4 6 8 10~~m=10~~~~Exp OUT:~~Output after deleting 10: ~~2 4 6 ~~~~ ~~  Mark/s obtained: 0 out of 10~~~~~~FAILED: Test Case 5: ~~IN:~~n=1~~LL[n]=2~~m=2~~~~Exp OUT:~~Output after deleting 2: ~~ ~~~~ ~~  Mark/s obtained: 0 out of 10~~~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 1:~~All inputs taken correctly~~  Mark/s obtained: 10 out of 10~~~~~~FAILED: Code Case 2:~~Linked list created correctly using user input~~  Mark/s obtained: 10 out of 20~~~~~~FAILED: Code Case 3:~~Logic is correct and gives expected output for all test cases~~  Mark/s obtained: 0 out of 20~~~~~~==============================~~~~########### TOTAL MARKS OBTAINED = 20 ############
22MI10051;0;0;0;0;0;0;0;0;0;A file was not submitted properly ~~Mark/s lost: 100 out of 100~~~~~~==============================~~~~############ TOTAL MARKS OBTAINED = 0 ############
22GG10024;0;0;0;0;0;0;0;0;0;A file was not submitted properly ~~Mark/s lost: 100 out of 100~~~~~~==============================~~~~############ TOTAL MARKS OBTAINED = 0 ############
22ME10007;10;0;0;0;0;10;0;0;20;Incorrect output for most of the test cases.~~~~========= TEST CASES =========~~~~~~FAILED: Test Case 2: ~~IN:~~n=5~~LL[n]=5 10 15 20 25 ~~m=30~~~~Exp OUT:~~30 does not exist~~~~ ~~  Mark/s obtained: 0 out of 10~~~~~~FAILED: Test Case 3: ~~IN:~~n=5~~LL[n]=5 4 3 2 1~~m=5~~~~Exp OUT:~~Output after deleting 5: ~~4 3 2 1~~~~ ~~  Mark/s obtained: 0 out of 10~~~~~~FAILED: Test Case 4: ~~IN:~~n=5~~LL[n]=2 4 6 8 10~~m=10~~~~Exp OUT:~~Output after deleting 10: ~~2 4 6 ~~~~ ~~  Mark/s obtained: 0 out of 10~~~~~~FAILED: Test Case 5: ~~IN:~~n=1~~LL[n]=2~~m=2~~~~Exp OUT:~~Output after deleting 2: ~~ ~~~~ ~~  Mark/s obtained: 0 out of 10~~~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 1:~~All inputs taken correctly~~  Mark/s obtained: 10 out of 10~~~~~~FAILED: Code Case 2:~~Linked list created correctly using user input~~  Mark/s obtained: 0 out of 20~~~~~~FAILED: Code Case 3:~~Logic is correct and gives expected output for all test cases~~  Mark/s obtained: 0 out of 20~~~~~~==============================~~~~########### TOTAL MARKS OBTAINED = 20 ############
