"Student_Name";"Test_Case_1 (10)";"Test_Case_2 (10)";"Test_Case_3 (10)";"Test_Case_4 (10)";"Code_1 (10)";"Code_2 (10)";"Code_3 (20)";"Code_4 (20)";"Total_Marks (100)";"Comments"
22MI10032;5;5;5;5;10;10;20;20;80;The way to call a function is `largest(arr)` else everything is ok.~~~~========= TEST CASES =========~~~~~~Your output:~~Enter numbers:~~<Program terminates>~~~~~~FAILED: Test Case 1: ~~IN:~~Enter numbers: 1 -1~~~~Exp OUT:~~Largest number: 1~~Second largest number: Value Not yet entered~~~~ ~~  Mark/s obtained: 5 out of 10~~~~~~Your output:~~Enter numbers:~~<Program terminates>~~~~~~FAILED: Test Case 2: ~~IN:~~Enter numbers: 1 2 5 4 -1~~~~Exp OUT:~~Largest number: 5~~Second largest number: 4~~~~ ~~  Mark/s obtained: 5 out of 10~~~~~~Your output:~~Enter numbers:~~<Program terminates>~~~~~~FAILED: Test Case 3: ~~IN:~~Enter numbers: 1 2 5 4 8 2 -1~~~~Exp OUT:~~Largest number: 8~~Second largest number: 5~~~~ ~~  Mark/s obtained: 5 out of 10~~~~~~Your output:~~Enter numbers:~~<Program terminates>~~~~~~FAILED: Test Case 4: ~~IN:~~Enter numbers: 1 2 5 4 8 2 1 1 -10 ~~~~Exp OUT:~~<Program terminates~~~~ ~~  Mark/s obtained: 5 out of 10~~~~~~========= CODE CASES =========~~~~~~==============================~~~~########### TOTAL MARKS OBTAINED = 80 ############
22EE10008;0;0;0;0;0;0;0;0;0;LT1 file was not submitted properly ~~Mark/s lost: 100 out of 100~~~~~~==============================~~~~############ TOTAL MARKS OBTAINED = 0 ############
22CS30008;10;10;10;10;10;10;20;20;100;Your code is very simillar to Priyam Tarafdarn talk to me (NP) in next lab.~~~~========= TEST CASES =========~~~~~~Your output:~~Enter numbers : Largest number: 1~~Second largest number: Value not entered yet~~~~~~Your output:~~Enter numbers : Largest number: 1~~Second largest number: Value not entered yet~~Largest number: 2~~Second largest number: 1~~Largest number: 5~~Second largest number: 2~~Largest number: 5~~Second largest number: 4~~~~~~Your output:~~Enter numbers : Largest number: 1~~Second largest number: Value not entered yet~~Largest number: 2~~Second largest number: 1~~Largest number: 5~~Second largest number: 2~~Largest number: 5~~Second largest number: 4~~Largest number: 8~~Second largest number: 5~~Largest number: 8~~Second largest number: 5~~~~~~Your output:~~Enter numbers : Largest number: 1~~Second largest number: Value not entered yet~~Largest number: 2~~Second largest number: 1~~Largest number: 5~~Second largest number: 2~~Largest number: 5~~Second largest number: 4~~Largest number: 8~~Second largest number: 5~~Largest number: 8~~Second largest number: 5~~Largest number: 8~~Second largest number: 5~~Largest number: 8~~Second largest number: 5~~~~~~========= CODE CASES =========~~~~~~==============================~~~~########### TOTAL MARKS OBTAINED = 100 ###########
22IE10007;0;0;0;0;0;0;0;0;0;LT1 file was not submitted properly ~~Mark/s lost: 100 out of 100~~~~~~==============================~~~~############ TOTAL MARKS OBTAINED = 0 ############
22MA10021;0;0;0;0;0;0;0;0;0;LT1 file was not submitted properly ~~Mark/s lost: 100 out of 100~~~~~~==============================~~~~############ TOTAL MARKS OBTAINED = 0 ############
22EE30007;0;0;0;0;0;0;0;0;0;LT1 file was not submitted properly ~~Mark/s lost: 100 out of 100~~~~~~==============================~~~~############ TOTAL MARKS OBTAINED = 0 ############
22AG10041;0;0;0;0;0;0;0;0;0;LT1 file was not submitted properly ~~Mark/s lost: 100 out of 100~~~~~~==============================~~~~############ TOTAL MARKS OBTAINED = 0 ############
22ME30004;0;0;0;0;0;0;0;0;0;LT1 file was not submitted properly ~~Mark/s lost: 100 out of 100~~~~~~==============================~~~~############ TOTAL MARKS OBTAINED = 0 ############
22MA10059;0;0;0;0;0;0;0;0;0;LT1 file was not submitted properly ~~Mark/s lost: 100 out of 100~~~~~~==============================~~~~############ TOTAL MARKS OBTAINED = 0 ############
22CE10065;5;5;5;5;10;10;20;20;80;You are not supposed to ask user for the number of inputs.~~ The user will keep entering numbers and you just have to run an infinite loop.~~~~========= TEST CASES =========~~~~~~Your output:~~enter the rangeenter the set of numbers~~Largest number:-1~~Second largest number: Value not yet enteredLargest number:0~~Second largest number:0~~~~~~FAILED: Test Case 1: ~~IN:~~Enter numbers: 1 -1~~~~Exp OUT:~~Largest number: 1~~Second largest number: Value Not yet entered~~~~ ~~  Mark/s obtained: 5 out of 10~~~~~~Your output:~~enter the rangeenter the set of numbers~~Largest number:2~~Second largest number: Value not yet enteredLargest number:0~~Second largest number:0~~~~~~FAILED: Test Case 2: ~~IN:~~Enter numbers: 1 2 5 4 -1~~~~Exp OUT:~~Largest number: 5~~Second largest number: 4~~~~ ~~  Mark/s obtained: 5 out of 10~~~~~~Your output:~~enter the rangeenter the set of numbers~~Largest number:2~~Second largest number: Value not yet enteredLargest number:0~~Second largest number:0~~~~~~FAILED: Test Case 3: ~~IN:~~Enter numbers: 1 2 5 4 8 2 -1~~~~Exp OUT:~~Largest number: 8~~Second largest number: 5~~~~ ~~  Mark/s obtained: 5 out of 10~~~~~~Your output:~~enter the rangeenter the set of numbers~~Largest number:2~~Second largest number: Value not yet enteredLargest number:0~~Second largest number:0~~~~~~FAILED: Test Case 4: ~~IN:~~Enter numbers: 1 2 5 4 8 2 1 1 -10 ~~~~Exp OUT:~~<Program terminates~~~~ ~~  Mark/s obtained: 5 out of 10~~~~~~========= CODE CASES =========~~~~~~==============================~~~~########### TOTAL MARKS OBTAINED = 80 ############
22EX10034;0;0;0;0;0;0;0;0;0;LT1 file was not submitted properly ~~Mark/s lost: 100 out of 100~~~~~~==============================~~~~############ TOTAL MARKS OBTAINED = 0 ############
22EC10059;10;10;10;10;10;10;20;20;100;Your code is very simillar to Aman Antil, talk to me (NP) in next lab.~~~~========= TEST CASES =========~~~~~~Your output:~~Enter numbers: ~~ Largest number: 1~~ Second largest number: Value Not yet entered~~~~~~Your output:~~Enter numbers: ~~ Largest number: 1~~ Second largest number: Value Not yet entered~~~~ Largest number: 2~~ Second largest number: 1~~~~ Largest number: 5~~ Second largest number: 2~~~~ Largest number: 5~~ Second largest number: 4~~~~~~Your output:~~Enter numbers: ~~ Largest number: 1~~ Second largest number: Value Not yet entered~~~~ Largest number: 2~~ Second largest number: 1~~~~ Largest number: 5~~ Second largest number: 2~~~~ Largest number: 5~~ Second largest number: 4~~~~ Largest number: 8~~ Second largest number: 5~~~~ Largest number: 8~~ Second largest number: 5~~~~~~Your output:~~Enter numbers: ~~ Largest number: 1~~ Second largest number: Value Not yet entered~~~~ Largest number: 2~~ Second largest number: 1~~~~ Largest number: 5~~ Second largest number: 2~~~~ Largest number: 5~~ Second largest number: 4~~~~ Largest number: 8~~ Second largest number: 5~~~~ Largest number: 8~~ Second largest number: 5~~~~ Largest number: 8~~ Second largest number: 5~~~~ Largest number: 8~~ Second largest number: 5~~~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 1:~~Input taken~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 2:~~Program terminates on negetive input~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 3:~~Checked for Largest~~  Mark/s obtained: 20 out of 20~~~~~~PASSED: Code Case 4:~~Checked for 2nd Largest~~  Mark/s obtained: 20 out of 20~~~~~~==============================~~~~########### TOTAL MARKS OBTAINED = 100 ###########
22HS10030;5;5;5;5;10;10;20;0;60;You are not supposed to ask user for the number of inputs.~~ The user will keep entering numbers and you just have to run an infinite loop.~~~~========= TEST CASES =========~~~~~~Your output:~~Enter number of digits to be enteredEnter the number ~~Largest number:-1 ~~second largest:Value not entered yet ~~~~~~FAILED: Test Case 1: ~~IN:~~Enter numbers: 1 -1~~~~Exp OUT:~~Largest number: 1~~Second largest number: Value Not yet entered~~~~ ~~  Mark/s obtained: 5 out of 10~~~~~~Your output:~~Enter number of digits to be enteredEnter the number ~~Largest number:2 ~~second largest:Value not entered yet ~~~~~~FAILED: Test Case 2: ~~IN:~~Enter numbers: 1 2 5 4 -1~~~~Exp OUT:~~Largest number: 5~~Second largest number: 4~~~~ ~~  Mark/s obtained: 5 out of 10~~~~~~Your output:~~Enter number of digits to be enteredEnter the number ~~Largest number:2 ~~second largest:Value not entered yet ~~~~~~FAILED: Test Case 3: ~~IN:~~Enter numbers: 1 2 5 4 8 2 -1~~~~Exp OUT:~~Largest number: 8~~Second largest number: 5~~~~ ~~  Mark/s obtained: 5 out of 10~~~~~~Your output:~~Enter number of digits to be enteredEnter the number ~~Largest number:2 ~~second largest:Value not entered yet ~~~~~~FAILED: Test Case 4: ~~IN:~~Enter numbers: 1 2 5 4 8 2 1 1 -10 ~~~~Exp OUT:~~<Program terminates~~~~ ~~  Mark/s obtained: 5 out of 10~~~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 1:~~Input taken~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 2:~~Program terminates on negetive input~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 3:~~Checked for Largest~~  Mark/s obtained: 20 out of 20~~~~~~FAILED: Code Case 4:~~Checked for 2nd Largest~~  Mark/s obtained: 0 out of 20~~~~~~==============================~~~~########### TOTAL MARKS OBTAINED = 60 ############
22CH30005;0;0;0;0;0;0;0;0;0;LT1 file was not submitted properly ~~Mark/s lost: 100 out of 100~~~~~~==============================~~~~############ TOTAL MARKS OBTAINED = 0 ############
22MI31006;0;0;0;0;10;0;0;0;10;Try to practice programming more. Take help from your friends. You will need to get better in order to pass.~~~~========= TEST CASES =========~~~~~~FAILED: Code didn't compile successfully~~  Mark/s obtained: 0 out of 40~~~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 1:~~Input taken~~  Mark/s obtained: 10 out of 10~~~~~~FAILED: Code Case 2:~~Program terminates on negetive input~~  Mark/s obtained: 0 out of 10~~~~~~FAILED: Code Case 3:~~Checked for Largest~~  Mark/s obtained: 0 out of 20~~~~~~FAILED: Code Case 4:~~Checked for 2nd Largest~~  Mark/s obtained: 0 out of 20~~~~~~==============================~~~~########### TOTAL MARKS OBTAINED = 10 ############
22MI31025;0;0;0;0;0;0;0;0;0;LT1 file was not submitted properly ~~Mark/s lost: 100 out of 100~~~~~~==============================~~~~############ TOTAL MARKS OBTAINED = 0 ############
22EC10079;5;5;5;5;10;10;20;0;60;Try to practice programming more. Take help from your friends.~~~~========= TEST CASES =========~~~~~~Your output:~~[Code goes into an Infinite Loop]~~~~FAILED: Test Case 1: ~~IN:~~Enter numbers: 1 -1~~~~Exp OUT:~~Largest number: 1~~Second largest number: Value Not yet entered~~~~ ~~  Mark/s obtained: 5 out of 10~~~~~~Your output:~~[Code goes into an Infinite Loop]~~~~FAILED: Test Case 2: ~~IN:~~Enter numbers: 1 2 5 4 -1~~~~Exp OUT:~~Largest number: 5~~Second largest number: 4~~~~ ~~  Mark/s obtained: 5 out of 10~~~~~~Your output:~~[Code goes into an Infinite Loop]~~~~FAILED: Test Case 3: ~~IN:~~Enter numbers: 1 2 5 4 8 2 -1~~~~Exp OUT:~~Largest number: 8~~Second largest number: 5~~~~ ~~  Mark/s obtained: 5 out of 10~~~~~~Your output:~~[Code goes into an Infinite Loop]~~~~FAILED: Test Case 4: ~~IN:~~Enter numbers: 1 2 5 4 8 2 1 1 -10 ~~~~Exp OUT:~~<Program terminates~~~~ ~~  Mark/s obtained: 5 out of 10~~~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 1:~~Input taken~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 2:~~Program terminates on negetive input~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 3:~~Checked for Largest~~  Mark/s obtained: 20 out of 20~~~~~~FAILED: Code Case 4:~~Checked for 2nd Largest~~  Mark/s obtained: 0 out of 20~~~~~~==============================~~~~########### TOTAL MARKS OBTAINED = 60 ############
22EE10028;0;0;0;0;0;0;0;0;0;LT1 file was not submitted properly ~~Mark/s lost: 100 out of 100~~~~~~==============================~~~~############ TOTAL MARKS OBTAINED = 0 ############
22CE30016;0;0;0;0;0;0;0;0;0;LT1 file was not submitted properly ~~Mark/s lost: 100 out of 100~~~~~~==============================~~~~############ TOTAL MARKS OBTAINED = 0 ############
22NA30030;0;0;0;0;0;0;0;0;0;LT1 file was not submitted properly ~~Mark/s lost: 100 out of 100~~~~~~==============================~~~~############ TOTAL MARKS OBTAINED = 0 ############
22ME10064;0;0;0;0;0;0;0;0;0;LT1 file was not submitted properly ~~Mark/s lost: 100 out of 100~~~~~~==============================~~~~############ TOTAL MARKS OBTAINED = 0 ############
22IM10001;0;0;0;0;0;0;0;0;0;LT1 file was not submitted properly ~~Mark/s lost: 100 out of 100~~~~~~==============================~~~~############ TOTAL MARKS OBTAINED = 0 ############
22CH30025;0;0;0;0;0;0;0;0;0;LT1 file was not submitted properly ~~Mark/s lost: 100 out of 100~~~~~~==============================~~~~############ TOTAL MARKS OBTAINED = 0 ############
22AG10001;0;0;0;0;0;0;0;0;0;LT1 file was not submitted properly ~~Mark/s lost: 100 out of 100~~~~~~==============================~~~~############ TOTAL MARKS OBTAINED = 0 ############
22MI10051;0;0;0;0;0;0;0;0;0;LT1 file was not submitted properly ~~Mark/s lost: 100 out of 100~~~~~~==============================~~~~############ TOTAL MARKS OBTAINED = 0 ############
22GG10024;0;0;0;0;0;0;0;0;0;LT1 file was not submitted properly ~~Mark/s lost: 100 out of 100~~~~~~==============================~~~~############ TOTAL MARKS OBTAINED = 0 ############
22ME10007;0;0;0;0;0;0;0;0;0;LT1 file was not submitted properly ~~Mark/s lost: 100 out of 100~~~~~~==============================~~~~############ TOTAL MARKS OBTAINED = 0 ############
22MT10061;0;0;0;0;0;0;0;0;0;LT1 file was not submitted properly ~~Mark/s lost: 100 out of 100~~~~~~==============================~~~~############ TOTAL MARKS OBTAINED = 0 ############
22NA10022;10;5;10;10;10;10;20;15;90;========= TEST CASES =========~~~~~~Your output:~~Largest number:1 Second Largest number:Value not entered yet~~~~~~Your output:~~Largest number:1 Second Largest number:Value not entered yet~~Largest number:2 Second Largest number:1 ~~Largest number:5 Second Largest number:2 ~~Largest number:5 Second Largest number:2 ~~~~~~FAILED: Test Case 2: ~~IN:~~Enter numbers: 1 2 5 4 -1~~~~Exp OUT:~~Largest number: 5~~Second largest number: 4~~~~ ~~  Mark/s obtained: 5 out of 10~~~~~~Your output:~~Largest number:1 Second Largest number:Value not entered yet~~Largest number:2 Second Largest number:1 ~~Largest number:5 Second Largest number:2 ~~Largest number:5 Second Largest number:2 ~~Largest number:8 Second Largest number:5 ~~Largest number:8 Second Largest number:5 ~~~~~~Your output:~~Largest number:1 Second Largest number:Value not entered yet~~Largest number:2 Second Largest number:1 ~~Largest number:5 Second Largest number:2 ~~Largest number:5 Second Largest number:2 ~~Largest number:8 Second Largest number:5 ~~Largest number:8 Second Largest number:5 ~~Largest number:8 Second Largest number:5 ~~Largest number:8 Second Largest number:5 ~~~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 1:~~Input taken~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 2:~~Program terminates on negetive input~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 3:~~Checked for Largest~~  Mark/s obtained: 20 out of 20~~~~~~FAILED: Code Case 4:~~Checked for 2nd Largest~~  Mark/s obtained: 15 out of 20~~~~~~==============================~~~~########### TOTAL MARKS OBTAINED = 90 ############
22ME30042;5;5;5;5;10;5;20;0;55;You are not supposed to ask user for the number of inputs.~~ The user will keep entering numbers and you just have to run an infinite loop.~~~~========= TEST CASES =========~~~~~~Your output:~~enter how many numbers you want to enter:the largest number is 0~~~~FAILED: Test Case 1: ~~IN:~~Enter numbers: 1 -1~~~~Exp OUT:~~Largest number: 1~~Second largest number: Value Not yet entered~~~~ ~~  Mark/s obtained: 5 out of 10~~~~~~Your output:~~enter how many numbers you want to enter:the largest number is 2~~~~FAILED: Test Case 2: ~~IN:~~Enter numbers: 1 2 5 4 -1~~~~Exp OUT:~~Largest number: 5~~Second largest number: 4~~~~ ~~  Mark/s obtained: 5 out of 10~~~~~~Your output:~~enter how many numbers you want to enter:the largest number is 2~~~~FAILED: Test Case 3: ~~IN:~~Enter numbers: 1 2 5 4 8 2 -1~~~~Exp OUT:~~Largest number: 8~~Second largest number: 5~~~~ ~~  Mark/s obtained: 5 out of 10~~~~~~Your output:~~enter how many numbers you want to enter:the largest number is 2~~~~FAILED: Test Case 4: ~~IN:~~Enter numbers: 1 2 5 4 8 2 1 1 -10 ~~~~Exp OUT:~~<Program terminates~~~~ ~~  Mark/s obtained: 5 out of 10~~~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 1:~~Input taken~~  Mark/s obtained: 10 out of 10~~~~~~FAILED: Code Case 2:~~Program terminates on negetive input~~  Mark/s obtained: 5 out of 10~~~~~~PASSED: Code Case 3:~~Checked for Largest~~  Mark/s obtained: 20 out of 20~~~~~~FAILED: Code Case 4:~~Checked for 2nd Largest~~  Mark/s obtained: 0 out of 20~~~~~~==============================~~~~########### TOTAL MARKS OBTAINED = 55 ############
22NA30011;0;0;0;0;0;0;0;0;0;LT1 file was not submitted properly ~~Mark/s lost: 100 out of 100~~~~~~==============================~~~~############ TOTAL MARKS OBTAINED = 0 ############
22MF10045;5;5;5;5;10;10;20;20;80;You are not supposed to ask user for the number of inputs.~~ The user will keep entering numbers and you just have to run an infinite loop.~~~~========= TEST CASES =========~~~~~~Your output:~~Enter the number of terms to be inserted in the arrayEnter the numbers~~~~FAILED: Test Case 1: ~~IN:~~Enter numbers: 1 -1~~~~Exp OUT:~~Largest number: 1~~Second largest number: Value Not yet entered~~~~ ~~  Mark/s obtained: 5 out of 10~~~~~~Your output:~~Enter the number of terms to be inserted in the arrayEnter the numbersLargest number :2 ~~Second largest number: Value not entered ~~Largest number:2 ~~Second largest number:2~~~~FAILED: Test Case 2: ~~IN:~~Enter numbers: 1 2 5 4 -1~~~~Exp OUT:~~Largest number: 5~~Second largest number: 4~~~~ ~~  Mark/s obtained: 5 out of 10~~~~~~Your output:~~Enter the number of terms to be inserted in the arrayEnter the numbersLargest number :2 ~~Second largest number: Value not entered ~~Largest number:2 ~~Second largest number:2~~~~FAILED: Test Case 3: ~~IN:~~Enter numbers: 1 2 5 4 8 2 -1~~~~Exp OUT:~~Largest number: 8~~Second largest number: 5~~~~ ~~  Mark/s obtained: 5 out of 10~~~~~~Your output:~~Enter the number of terms to be inserted in the arrayEnter the numbersLargest number :2 ~~Second largest number: Value not entered ~~Largest number:2 ~~Second largest number:2~~~~FAILED: Test Case 4: ~~IN:~~Enter numbers: 1 2 5 4 8 2 1 1 -10 ~~~~Exp OUT:~~<Program terminates~~~~ ~~  Mark/s obtained: 5 out of 10~~~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 1:~~Input taken~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 2:~~Program terminates on negetive input~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 3:~~Checked for Largest~~  Mark/s obtained: 20 out of 20~~~~~~PASSED: Code Case 4:~~Checked for 2nd Largest~~  Mark/s obtained: 20 out of 20~~~~~~==============================~~~~########### TOTAL MARKS OBTAINED = 80 ############
22EC30047;10;10;10;10;10;10;20;20;100;Good work~~~~========= TEST CASES =========~~~~~~Your output:~~enter numbers:~~largest number = 1  ~~Second largest number : not entred yet ~~ ~~<program termiates>~~~~~~~~Your output:~~enter numbers:~~largest number = 1  ~~Second largest number : not entred yet ~~ ~~~~largest number = 2  ~~Second largest number =1 ~~ ~~~~largest number = 5  ~~Second largest number =2 ~~ ~~~~largest number = 5  ~~Second largest number =4 ~~ ~~<program termiates>~~~~~~~~Your output:~~enter numbers:~~largest number = 1  ~~Second largest number : not entred yet ~~ ~~~~largest number = 2  ~~Second largest number =1 ~~ ~~~~largest number = 5  ~~Second largest number =2 ~~ ~~~~largest number = 5  ~~Second largest number =4 ~~ ~~~~largest number = 8  ~~Second largest number =5 ~~ ~~~~largest number = 8  ~~Second largest number =5 ~~ ~~<program termiates>~~~~~~~~Your output:~~enter numbers:~~largest number = 1  ~~Second largest number : not entred yet ~~ ~~~~largest number = 2  ~~Second largest number =1 ~~ ~~~~largest number = 5  ~~Second largest number =2 ~~ ~~~~largest number = 5  ~~Second largest number =4 ~~ ~~~~largest number = 8  ~~Second largest number =5 ~~ ~~~~largest number = 8  ~~Second largest number =5 ~~ ~~~~largest number = 8  ~~Second largest number =5 ~~ ~~~~largest number = 8  ~~Second largest number =5 ~~ ~~<program termiates>~~~~~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 1:~~Input taken~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 2:~~Program terminates on negetive input~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 3:~~Checked for Largest~~  Mark/s obtained: 20 out of 20~~~~~~PASSED: Code Case 4:~~Checked for 2nd Largest~~  Mark/s obtained: 20 out of 20~~~~~~==============================~~~~########### TOTAL MARKS OBTAINED = 100 ###########
